Tweet,Account Name,Profile,Created At
正社員だけの体制では、現代の市場の変化に対応しきれない。外部の専門家や業務委託人材との協業を含めた柔軟な体制づくりが、マーケの安定性を高めるためにも重要になっている,GuoLai61265,【広告人材不足を解決する相談窓口】エンリッチ㍿ 代表取締役CEO｜ADKやアドウェイズ出身｜福岡↔︎東京2拠点｜２児の父｜120社以上の大手・中小の事業主と広告会社の支援実績アリ｜広告業界の人材不足解決になる情報発信│10万/月からプロ人材活用可能！プロ人材活用や施策提案は無料！お悩みを教えてください！ ※DM歓迎！,2025-04-07T09:04:00.000Z
"【東京の奥様格差は広がっている】

弊社から先月60万円ほど発注している母がいる

子育ての合間にパソコンで
LINE返信代行/日程切り代行/マーケ構築まで
時給4500円でリモート作業してもらっている

ただ彼女も元々1300円の業務委託さんだった。

東京の主婦がパートに出たら時給1100円",kinmantyajin,大阪の小さな会社オーナー/27歳 /大阪市立大学法学部で占いの研究▶︎占い起業▶︎占い師向け起業サービス▶︎経営者など顧問業▶YouTube運営/世界一のスピコミュニティと日本一の占い師を目指してます/620名所属のスピ&占いコミュニティー運営/昔𝓧で副業占いを流行らせました/裏垢です/𝓧はまれに毒を吐きます,2025-04-11T11:22:21.000Z
SNSマーケのスペシャリストを業務委託で採用したい方いますか？大手ハウスメーカーアカウントのフォロワーを2年で5万→10万人へ倍増。他にもメンズコスメブランドのアカウント立ち上げなど実績多数。広告配信、イベント運営、撮影進行管理も得意。興味ある方リプライ下さい,kojima_riki_,https://t.co/KdY8zuQHNRの代表取締役/19期目/営業支援、セミナー支援、M&A/ベンチャーの負を解消しステークホルダーのwillを実現したい/経営者/岡山出身/38歳/慶應経済/18歳で起業→22歳で借金1億円→逆境を乗り越え212名の組織を経営/事業拡大に伴い多くのポジションで募集中。DMお気軽に♪,2025-04-10T23:00:02.000Z
@wormamaantenna 43歳でキャリアチェンジしました。未経験からのWebデザイナー。デザインスキルだけでは仕事がなく、Webマーケ、ライティング等のスキルも学び、業務委託で中小企業のWeb専任担当に。4年目にしてやっと制作会社でアシスタントディレクターに。死ぬほど大変でした。アラフォー未経験にはお勧めしません,vol_eg_design,▷Webデザイナー▷フリーランス、在宅ワーク▷家族との時間を大事にしたい,2025-04-09T16:26:35.000Z
"★マーケ人材紹介★

【プロフィール】
40代男性
契約形態：業務委託
稼働工数：160h/月

▼スキル
・WEB制作：10年
・マーケ：10年
・広告運用：5年(G・Y・Meta)
・EC運用：5年
・データ分析：3年

非常に優秀な人材です！少しでもご興味ある企業様はDMください！

#マーケター　#フリーランス",bKIdGFayzVt5FEn,Web広告✖️人材 マーケターに特化した求人や案件を紹介しています。  広告代理店やインハウスでお仕事をお探しの方はお声がけください！ 転職、フリーランスいずれも大歓迎です！  情報交換も嬉しいです！  採用されたい企業様もお声がけください！,2025-04-08T08:02:02.000Z
"YouTubeマーケの業務委託案件ですが、まさか合格するとは思っていませんでした。
全くの畑違いですが、良い機会なので色々学びます。",kensetsu_hide63,建設業界の組織・人材育成のお悩みを解決します｜マネジメント経験10年｜実家は建設業｜ウェブ解析士｜マネジメントや業界の最新情報について発信しています｜無料相談は公式LINEから↓,2025-04-08T06:00:00.000Z
"#案件情報【ゲーム好き必見🎮】

様々なゲームタイトルを扱う企業様でマーケ案件が出ました！
SNS運用×広告運用×プロモ経験を活かせます📱✨

💻 フルリモート
💰 月収32万円
🎯 業務委託×複数名募集

気になる方、どしどしDMください📩
#フリーランス案件 #広告運用 #SNS運用 #ゲーム業界 https://t.co/KXp2kdYgXs",akahaiagent,"Web広告運用・Webマーケティングに特化したエージェントサービス【アカハイエージェント】
★キャア採用/フリーランス・個人事業主支援/派遣支援 | Web集客～Web業界人材の採用まで支援 | 集客・採用にお困りの企業様はDMでご連絡ください！",2025-04-08T04:00:01.000Z
正社員だけの体制では、現代の市場の変化に対応しきれない。外部の専門家や業務委託人材との協業を含めた柔軟な体制づくりが、マーケの安定性を高めるためにも重要になっている,GuoLai61265,【広告人材不足を解決する相談窓口】エンリッチ㍿ 代表取締役CEO｜ADKやアドウェイズ出身｜福岡↔︎東京2拠点｜２児の父｜120社以上の大手・中小の事業主と広告会社の支援実績アリ｜広告業界の人材不足解決になる情報発信│15万/月からプロ人材活用可能！プロ人材活用や施策提案は無料！お悩みを教えてください！ ※DM歓迎！,2025-04-07T09:04:00.000Z
toBマーケの施策推進、体制構築が得意な方を業務委託で採用したい方いますか？toBマーケ支援会社にて、MAツールの導入・運用、マーケ/インサイドセールスの組織立ち上げ、デジマ全体の構想策定の経験豊富。金融・保険、製造業、ITが特に強い。興味ある方リプライ下さい,seoamigo,"18歳で起業,212名の（株）ウィルゲートを経営/買収4回売却2回M&Aを経験。5年でベンチャーやITのM&A仲介73組。Google【SEO対策】1位/経営者のFacebookとXが検索できるDB【アポトル】が絶好調/ソーシャルセリングで毎月200アポ獲得/38歳/岡山朝日→慶應経済/仕事のご相談は気軽に📩下さい",2025-04-11T23:00:02.000Z
"【東京の奥様格差は広がっている】

弊社から先月60万円ほど発注している母がいる

子育ての合間にパソコンで
LINE返信代行/日程切り代行/マーケ構築まで
時給4500円でリモート作業してもらっている

ただ彼女も元々1300円の業務委託さんだった。

東京の主婦がパートに出たら時給1100円",kinmantyajin,大阪の小さな会社オーナー/27歳 /大阪市立大学法学部で占いの研究▶︎占い起業▶︎占い師向け起業サービス▶︎経営者など顧問業▶YouTube運営/世界一のスピコミュニティと日本一の占い師を目指してます/620名所属のスピ&占いコミュニティー運営/昔𝓧で副業占いを流行らせました/裏垢です/𝓧はまれに毒を吐きます,2025-04-11T11:22:21.000Z
SNSマーケのスペシャリストを業務委託で採用したい方いますか？大手ハウスメーカーアカウントのフォロワーを2年で5万→10万人へ倍増。他にもメンズコスメブランドのアカウント立ち上げなど実績多数。広告配信、イベント運営、撮影進行管理も得意。興味ある方リプライ下さい,kojima_riki_,https://t.co/KdY8zuQHNRの代表取締役/19期目/営業支援、セミナー支援、M&A/ベンチャーの負を解消しステークホルダーのwillを実現したい/経営者/岡山出身/38歳/慶應経済/18歳で起業→22歳で借金1億円→逆境を乗り越え212名の組織を経営/事業拡大に伴い多くのポジションで募集中。DMお気軽に♪,2025-04-10T23:00:02.000Z
@wormamaantenna 43歳でキャリアチェンジしました。未経験からのWebデザイナー。デザインスキルだけでは仕事がなく、Webマーケ、ライティング等のスキルも学び、業務委託で中小企業のWeb専任担当に。4年目にしてやっと制作会社でアシスタントディレクターに。死ぬほど大変でした。アラフォー未経験にはお勧めしません,vol_eg_design,▷Webデザイナー▷フリーランス、在宅ワーク▷家族との時間を大事にしたい,2025-04-09T16:26:35.000Z
"★マーケ人材紹介★

【プロフィール】
40代男性
契約形態：業務委託
稼働工数：160h/月

▼スキル
・WEB制作：10年
・マーケ：10年
・広告運用：5年(G・Y・Meta)
・EC運用：5年
・データ分析：3年

非常に優秀な人材です！少しでもご興味ある企業様はDMください！

#マーケター　#フリーランス",bKIdGFayzVt5FEn,Web広告✖️人材 マーケターに特化した求人や案件を紹介しています。  広告代理店やインハウスでお仕事をお探しの方はお声がけください！ 転職、フリーランスいずれも大歓迎です！  情報交換も嬉しいです！  採用されたい企業様もお声がけください！,2025-04-08T08:02:02.000Z
"YouTubeマーケの業務委託案件ですが、まさか合格するとは思っていませんでした。
全くの畑違いですが、良い機会なので色々学びます。",kensetsu_hide63,建設業界の組織・人材育成のお悩みを解決します｜マネジメント経験10年｜実家は建設業｜ウェブ解析士｜マネジメントや業界の最新情報について発信しています｜無料相談は公式LINEから↓,2025-04-08T06:00:00.000Z
"#案件情報【ゲーム好き必見🎮】

様々なゲームタイトルを扱う企業様でマーケ案件が出ました！
SNS運用×広告運用×プロモ経験を活かせます📱✨

💻 フルリモート
💰 月収32万円
🎯 業務委託×複数名募集

気になる方、どしどしDMください📩
#フリーランス案件 #広告運用 #SNS運用 #ゲーム業界 https://t.co/KXp2kdYgXs",akahaiagent,"Web広告運用・Webマーケティングに特化したエージェントサービス【アカハイエージェント】
★キャア採用/フリーランス・個人事業主支援/派遣支援 | Web集客～Web業界人材の採用まで支援 | 集客・採用にお困りの企業様はDMでご連絡ください！",2025-04-08T04:00:01.000Z
正社員だけの体制では、現代の市場の変化に対応しきれない。外部の専門家や業務委託人材との協業を含めた柔軟な体制づくりが、マーケの安定性を高めるためにも重要になっている,GuoLai61265,【広告人材不足を解決する相談窓口】エンリッチ㍿ 代表取締役CEO｜ADKやアドウェイズ出身｜福岡↔︎東京2拠点｜２児の父｜120社以上の大手・中小の事業主と広告会社の支援実績アリ｜広告業界の人材不足解決になる情報発信│15万/月からプロ人材活用可能！プロ人材活用や施策提案は無料！お悩みを教えてください！ ※DM歓迎！,2025-04-07T09:04:00.000Z
toBマーケの施策推進、体制構築が得意な方を業務委託で採用したい方いますか？toBマーケ支援会社にて、MAツールの導入・運用、マーケ/インサイドセールスの組織立ち上げ、デジマ全体の構想策定の経験豊富。金融・保険、製造業、ITが特に強い。興味ある方リプライ下さい,seoamigo,"18歳で起業,212名の（株）ウィルゲートを経営/買収4回売却2回M&Aを経験。5年でベンチャーやITのM&A仲介73組。Google【SEO対策】1位/経営者のFacebookとXが検索できるDB【アポトル】が絶好調/ソーシャルセリングで毎月200アポ獲得/38歳/岡山朝日→慶應経済/仕事のご相談は気軽に📩下さい",2025-04-11T23:00:02.000Z
"【東京の奥様格差は広がっている】

弊社から先月60万円ほど発注している母がいる

子育ての合間にパソコンで
LINE返信代行/日程切り代行/マーケ構築まで
時給4500円でリモート作業してもらっている

ただ彼女も元々1300円の業務委託さんだった。

東京の主婦がパートに出たら時給1100円",kinmantyajin,大阪の小さな会社オーナー/27歳 /大阪市立大学法学部で占いの研究▶︎占い起業▶︎占い師向け起業サービス▶︎経営者など顧問業▶YouTube運営/世界一のスピコミュニティと日本一の占い師を目指してます/620名所属のスピ&占いコミュニティー運営/昔𝓧で副業占いを流行らせました/裏垢です/𝓧はまれに毒を吐きます,2025-04-11T11:22:21.000Z
SNSマーケのスペシャリストを業務委託で採用したい方いますか？大手ハウスメーカーアカウントのフォロワーを2年で5万→10万人へ倍増。他にもメンズコスメブランドのアカウント立ち上げなど実績多数。広告配信、イベント運営、撮影進行管理も得意。興味ある方リプライ下さい,kojima_riki_,https://t.co/KdY8zuQHNRの代表取締役/19期目/営業支援、セミナー支援、M&A/ベンチャーの負を解消しステークホルダーのwillを実現したい/経営者/岡山出身/38歳/慶應経済/18歳で起業→22歳で借金1億円→逆境を乗り越え212名の組織を経営/事業拡大に伴い多くのポジションで募集中。DMお気軽に♪,2025-04-10T23:00:02.000Z
@wormamaantenna 43歳でキャリアチェンジしました。未経験からのWebデザイナー。デザインスキルだけでは仕事がなく、Webマーケ、ライティング等のスキルも学び、業務委託で中小企業のWeb専任担当に。4年目にしてやっと制作会社でアシスタントディレクターに。死ぬほど大変でした。アラフォー未経験にはお勧めしません,vol_eg_design,▷Webデザイナー▷フリーランス、在宅ワーク▷家族との時間を大事にしたい,2025-04-09T16:26:35.000Z
"★マーケ人材紹介★

【プロフィール】
40代男性
契約形態：業務委託
稼働工数：160h/月

▼スキル
・WEB制作：10年
・マーケ：10年
・広告運用：5年(G・Y・Meta)
・EC運用：5年
・データ分析：3年

非常に優秀な人材です！少しでもご興味ある企業様はDMください！

#マーケター　#フリーランス",bKIdGFayzVt5FEn,Web広告✖️人材 マーケターに特化した求人や案件を紹介しています。  広告代理店やインハウスでお仕事をお探しの方はお声がけください！ 転職、フリーランスいずれも大歓迎です！  情報交換も嬉しいです！  採用されたい企業様もお声がけください！,2025-04-08T08:02:02.000Z
"YouTubeマーケの業務委託案件ですが、まさか合格するとは思っていませんでした。
全くの畑違いですが、良い機会なので色々学びます。",kensetsu_hide63,建設業界の組織・人材育成のお悩みを解決します｜マネジメント経験10年｜実家は建設業｜ウェブ解析士｜マネジメントや業界の最新情報について発信しています｜公式LINEは5月公開予定！,2025-04-08T06:00:00.000Z
"#案件情報【ゲーム好き必見🎮】

様々なゲームタイトルを扱う企業様でマーケ案件が出ました！
SNS運用×広告運用×プロモ経験を活かせます📱✨

💻 フルリモート
💰 月収32万円
🎯 業務委託×複数名募集

気になる方、どしどしDMください📩
#フリーランス案件 #広告運用 #SNS運用 #ゲーム業界 https://t.co/KXp2kdYgXs",akahaiagent,"Web広告運用・Webマーケティングに特化したエージェントサービス【アカハイエージェント】
★キャア採用/フリーランス・個人事業主支援/派遣支援 | Web集客～Web業界人材の採用まで支援 | 集客・採用にお困りの企業様はDMでご連絡ください！",2025-04-08T04:00:01.000Z
toBマーケの施策推進、体制構築が得意な方を業務委託で採用したい方いますか？toBマーケ支援会社にて、MAツールの導入・運用、マーケ/インサイドセールスの組織立ち上げ、デジマ全体の構想策定の経験豊富。金融・保険、製造業、ITが特に強い。興味ある方リプライ下さい,seoamigo,"18歳で起業,212名の（株）ウィルゲートを経営/買収4回売却2回M&Aを経験。5年でベンチャーやITのM&A仲介73組。Google【SEO対策】1位/経営者のFacebookとXが検索できるDB【アポトル】が絶好調/ソーシャルセリングで毎月200アポ獲得/38歳/岡山朝日→慶應経済/仕事のご相談は気軽に📩下さい",2025-04-11T23:00:02.000Z
"【東京の奥様格差は広がっている】

弊社から先月60万円ほど発注している母がいる

子育ての合間にパソコンで
LINE返信代行/日程切り代行/マーケ構築まで
時給4500円でリモート作業してもらっている

ただ彼女も元々1300円の業務委託さんだった。

東京の主婦がパートに出たら時給1100円",kinmantyajin,大阪の小さな会社オーナー/27歳 /大阪市立大学法学部で占いの研究▶︎占い起業▶︎占い師向け起業サービス▶︎経営者など顧問業▶YouTube運営/世界一のスピコミュニティと日本一の占い師を目指してます/620名所属のスピ&占いコミュニティー運営/昔𝓧で副業占いを流行らせました/裏垢です/𝓧はまれに毒を吐きます,2025-04-11T11:22:21.000Z
SNSマーケのスペシャリストを業務委託で採用したい方いますか？大手ハウスメーカーアカウントのフォロワーを2年で5万→10万人へ倍増。他にもメンズコスメブランドのアカウント立ち上げなど実績多数。広告配信、イベント運営、撮影進行管理も得意。興味ある方リプライ下さい,kojima_riki_,https://t.co/KdY8zuQHNRの代表取締役/19期目/営業支援、セミナー支援、M&A/ベンチャーの負を解消しステークホルダーのwillを実現したい/経営者/岡山出身/38歳/慶應経済/18歳で起業→22歳で借金1億円→逆境を乗り越え212名の組織を経営/事業拡大に伴い多くのポジションで募集中。DMお気軽に♪,2025-04-10T23:00:02.000Z
@wormamaantenna 43歳でキャリアチェンジしました。未経験からのWebデザイナー。デザインスキルだけでは仕事がなく、Webマーケ、ライティング等のスキルも学び、業務委託で中小企業のWeb専任担当に。4年目にしてやっと制作会社でアシスタントディレクターに。死ぬほど大変でした。アラフォー未経験にはお勧めしません,vol_eg_design,▷Webデザイナー▷フリーランス、在宅ワーク▷家族との時間を大事にしたい,2025-04-09T16:26:35.000Z
"【男子募集】

▪️仕事内容
・SNS運用
・会社運営
・仲介業務
・スカウトマン
→選択可能

▪️雇用形態
・業務委託契約（即払い可能）
・個人

▪️求める人材
・SNSマーケの知識がある
・仮説検証を自主的に出来る
・地頭が良い(学歴高い方がその傾向にあるので高学歴募集)",roppongi_teikok,___スカウト___頑張るキャバ嬢の味方|情報は最大の暴力| 散りぬべき 時知りてこそ 世の中の 花も花なれ人も人なれ|#六本木 #港区 #キャバ嬢 #路上スカウト #大型移籍,2025-04-16T14:08:16.000Z
"営業代行（業務委託）
製造代行（派遣）
開発代行（サプライヤ）
広告代行（マーケ会社）
客相代行（札幌・沖縄）
総務代行（東南アジア）

世の中代行ばっかだな",SameOldJokes,メーカー販売促進部勤務です。,2025-04-16T12:16:27.000Z
toBマーケの施策推進、体制構築が得意な方を業務委託で採用したい方いますか？toBマーケ支援会社にて、MAツールの導入・運用、マーケ/インサイドセールスの組織立ち上げ、デジマ全体の構想策定の経験豊富。金融・保険、製造業、ITが特に強い。興味ある方リプライ下さい,seoamigo,"18歳で起業,212名の（株）ウィルゲートを経営/買収4回売却2回M&Aを経験。5年でベンチャーやITのM&A仲介73組。Google【SEO対策】1位/経営者のFacebookとXが検索できるDB【アポトル】が絶好調/ソーシャルセリングで毎月200アポ獲得/38歳/岡山朝日→慶應経済/仕事のご相談は気軽に📩下さい",2025-04-11T23:00:02.000Z
"【東京の奥様格差は広がっている】

弊社から先月60万円ほど発注している母がいる

子育ての合間にパソコンで
LINE返信代行/日程切り代行/マーケ構築まで
時給4500円でリモート作業してもらっている

ただ彼女も元々1300円の業務委託さんだった。

東京の主婦がパートに出たら時給1100円",kinmantyajin,大阪の小さな会社オーナー/27歳 /大阪市立大学法学部で占いの研究▶︎占い起業▶︎占い師向け起業サービス▶︎経営者など顧問業▶YouTube運営/世界一のスピコミュニティと日本一の占い師を目指してます/620名所属のスピ&占いコミュニティー運営/昔𝓧で副業占いを流行らせました/裏垢です/𝓧はまれに毒を吐きます,2025-04-11T11:22:21.000Z
SNSマーケのスペシャリストを業務委託で採用したい方いますか？大手ハウスメーカーアカウントのフォロワーを2年で5万→10万人へ倍増。他にもメンズコスメブランドのアカウント立ち上げなど実績多数。広告配信、イベント運営、撮影進行管理も得意。興味ある方リプライ下さい,kojima_riki_,https://t.co/KdY8zuQHNRの代表取締役/19期目/営業支援、セミナー支援、M&A/ベンチャーの負を解消しステークホルダーのwillを実現したい/経営者/岡山出身/38歳/慶應経済/18歳で起業→22歳で借金1億円→逆境を乗り越え212名の組織を経営/事業拡大に伴い多くのポジションで募集中。DMお気軽に♪,2025-04-10T23:00:02.000Z
"月5,000件のリードを獲得する1人マーケ統括が実践した50超の施策とは？

・業務委託メンバーと多施策を同時展開
・実際に取り組んだ50超のマーケ施策の内訳
・特に効果の大きかった打ち手は？

https://t.co/44kmr1KcDB
@Ryu_nosukeee @hey_obt",logmi_biz,学び続ける次世代ビジネスリーダー向けメディア「ログミーBusiness」公式アカウントです。知的好奇心の強いビジネスパーソンに向けて、明日を変える挑戦者たちの「生の声」をお届けします。#ログミーBusiness,2025-04-18T03:30:00.000Z
"【男子募集】

▪️仕事内容
・SNS運用
・会社運営
・仲介業務
・スカウトマン
→選択可能

▪️雇用形態
・業務委託契約（即払い可能）
・個人

▪️求める人材
・SNSマーケの知識がある
・仮説検証を自主的に出来る
・地頭が良い(学歴高い方がその傾向にあるので高学歴募集)",roppongi_teikok,___スカウト___頑張るキャバ嬢の味方|情報は最大の暴力| 散りぬべき 時知りてこそ 世の中の 花も花なれ人も人なれ|#六本木 #港区 #キャバ嬢 #路上スカウト #大型移籍,2025-04-16T14:08:16.000Z
"営業代行（業務委託）
製造代行（派遣）
開発代行（サプライヤ）
広告代行（マーケ会社）
客相代行（札幌・沖縄）
総務代行（東南アジア）

世の中代行ばっかだな",SameOldJokes,メーカー販売促進部勤務です。,2025-04-16T12:16:27.000Z
toBマーケの施策推進、体制構築が得意な方を業務委託で採用したい方いますか？toBマーケ支援会社にて、MAツールの導入・運用、マーケ/インサイドセールスの組織立ち上げ、デジマ全体の構想策定の経験豊富。金融・保険、製造業、ITが特に強い。興味ある方リプライ下さい,seoamigo,"18歳で起業,212名の（株）ウィルゲートを経営/買収4回売却2回M&Aを経験。5年でベンチャーやITのM&A仲介73組。Google【SEO対策】1位/経営者のFacebookとXが検索できるDB【アポトル】が絶好調/ソーシャルセリングで毎月200アポ獲得/38歳/岡山朝日→慶應経済/仕事のご相談は気軽に📩下さい",2025-04-11T23:00:02.000Z
"【東京の奥様格差は広がっている】

弊社から先月60万円ほど発注している母がいる

子育ての合間にパソコンで
LINE返信代行/日程切り代行/マーケ構築まで
時給4500円でリモート作業してもらっている

ただ彼女も元々1300円の業務委託さんだった。

東京の主婦がパートに出たら時給1100円",kinmantyajin,大阪の小さな会社オーナー/27歳 /大阪市立大学法学部で占いの研究▶︎占い起業▶︎占い師向け起業サービス▶︎経営者など顧問業▶YouTube運営/世界一のスピコミュニティと日本一の占い師を目指してます/620名所属のスピ&占いコミュニティー運営/昔𝓧で副業占いを流行らせました/裏垢です/𝓧はまれに毒を吐きます,2025-04-11T11:22:21.000Z
"5年くらい前に30代半ば未経験からLINEマーケでフリーとしての活動を始めて、紆余曲折したけど今の業務委託で仕事安定してもらうスタイルが自分には1番合ってた🍝

年収500万とかそこそこの収入を、そこそこな労力で安定させたい人はこの働き方が合ってるかも。",tomohirotomtom,最強の公式LINEマーケター麺類。無料であなただけのデモアカウントを創ります🍝 気軽にDMください。サービス資料：https://t.co/odwGU8bnYJ,2025-04-24T08:20:22.000Z
"🚀 最近の活動まとめ
フリーランス独立後も少しずつ積み上げています。

✅オリジナルWPテーマ開発
✅LP制作
✅業務委託契約 / 定期受注
✅提携先ルールに沿ったコーディング対応
✅GitHubでのチーム開発
✅IT導入補助金申請サポート：7件対応済
✅Webマーケ勉強会・実践も継続中📈",Matsutake_prgrm,Web制作フリーランス｜コーディング代行｜自衛隊7年勤務→Web業界に転身｜ デイトラ｜ノマドニア🇬🇪｜空き状況：5月△、6月○｜ご依頼受付中です！ ✉️matsutake@mt-tk.com,2025-04-23T13:08:36.000Z
東大出身マーケターを業務委託で採用したい方いますか？ベンチャー/中小/上場企業のマーケ戦略〜施策実行が得意でエンジニアの知見も豊富。モビリティ系ベンチャーで前年同月比150%成長の実績。Webマーケをまるっとお任せできる超おすすめ人材！興味ある方リプライ下さい,kojima_riki_,https://t.co/KdY8zuQHNRの代表取締役/19期目/営業支援、セミナー支援、M&A/ベンチャーの負を解消しステークホルダーのwillを実現したい/経営者/岡山出身/38歳/慶應経済/18歳で起業→22歳で借金1億円→逆境を乗り越え212名の組織を経営/事業拡大に伴い多くのポジションで募集中。DMお気軽に♪,2025-04-23T03:00:02.000Z
"2025.4.22

今日やったこと
✅マーケMTG
✅Figma to Bolt
✅SHOPLINEコーディング
✅動画編集
✅いけゆさん滞在自習室

マーケMTGにて、ビシバシ指導いただく。業務委託でここまで指導いただけるのは、本当にありがたい✨ただめっちゃ難しい😅",nishin8080,札幌在住 | Shopifyパートナー | Webコーダー | Webマーケティング | SHOPLINE | デイトラ | Web制作 | 営業支援3期 | リベシティ | 宅建士 |,2025-04-22T15:07:46.000Z
大学週3で通いながら、ない日は保育士の勉強独学でして、夜はバイトして、毎日音楽プロモートして、業務委託でSNSマーケもやってんの普通にやばいしそれで生きていけてるの奇跡かも,Cybercat_87,ニャ（オタクニート）の部分,2025-04-22T05:19:28.000Z
"今日から新しい業務委託のお仕事がスタート！
マーケ系のオンラインアシスタントとして、企業のWEBコンテンツ運用に関わります☺️
ツールの多さに驚きつつ、全部使いこなせたら強みがぐんと増えそう…👀
#リモラボ の学びも活かして、しっかり貢献できるようにがんばります🔥",inst_umi_,発信が苦手なサロンオーナーさん向け🌿集客につながるインスタ運用をサポートしてます🌿元エステサロンコンサルト,2025-04-21T14:25:16.000Z
